Candidate Age,Candidate Gender,Highest Qualification,Job Title,CTC (Yearly),Employment Type,Marriage Status,Disability Status,Course Name,Course Sector,Candidate City,Present Village,Present District,Present State,Present Country,Job Designation,Job Location
22,Female,Higher Secondary Pass,Self Employed,6000,Self Employed,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,East Midnapore,binchiberia,East Midnapore,WEST BENGAL,India,Self Employed,Haldia
30,Female,Higher Secondary Pass,Trainee,14000,Salaried,Married,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Pune,Wagholi ,Pune,MAHARASHTRA,India,Trainee,pune
31,Female,Graduation,Trainee,14000,Salaried,Married,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Pune,Wagholi ,Pune,MAHARASHTRA,India,Trainee,pune
18,Male,10th Pass,Sight Management,9000,Salaried,Unmarried,No,Certification Course for Self Employed Tailor -1- I,Apparel,Ahmedabad,Sarkhej,Ahmedabad,GUJARAT,India,Sight Manager,Ahmedabad
26,Male,Higher Secondary Pass,Sanitary Inspector,24000,Salaried,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Ahmedabad,shrkhej,Ahmedabad,GUJARAT,India,Sanitary Inspector,Ahmedabad
24,Male,Post Graduation,Sales associate,17069,Salaried,Unmarried,No,Certificate Course for Assistant Beauty Therapist (Alankrit),Beauty & Wellness,Pune,Swarget ,Pune,MAHARASHTRA,India,Sales associate,pune
20,Female,Higher Secondary Pass,Tifin Service,8000,Self Employed,Unmarried,No,Certificate Course for Assistant Beauty Therapist,Beauty & Wellness,Anand,vahera,Anand,GUJARAT,India,Propriter,Ahmedabad
23,Female,Graduation,Information Retrieval  Officer,9845,Salaried,Unmarried,No,Certificate Course for Assistant Beauty Therapist,Beauty & Wellness,Pune,Swarget ,Pune,MAHARASHTRA,India,Information Retrieval  Officer,pune
20,Male,10th Pass,Trainee Associate,11888,Salaried,Married,No,Certification Course for Self Employed Tailor -1- I,Apparel,Aligarh,Harnot Bhojpur Aligarh,Aligarh,UTTAR PRADESH,India,Trainee Associate,Noida
19,Male,10th Pass,Trainee Associate,11888,Salaried,Unmarried,No,Certificate Course for Assistant Beauty Therapist,Beauty & Wellness,East Delhi,Harola,Gautam Buddha Nagar,UTTAR PRADESH,India,Trainee Associate,Noida
28,Female,Higher Secondary Pass,Assisstant Beauty Therapist ,2000,Wage Employment- Full Time,Unmarried,No,Certificate Course for Data Entry Operator - 2,Others,Kolkata,Uttarpara,Hooghly,WEST BENGAL,India,Helper beautician,Bally
24,Male,ITI pass,Trainee Associate,11888,Salaried,Unmarried,No,Certificate Course for Data Entry Operator - 2,Others,Nadia,Ashok nagar ,West Delhi,DELHI,India,Trainee Associate,Noida
19,Female,6 to 9,self employed tailor ,4000,Self Employed,Unmarried,No,Certification Course on CRM Domestic Non Voice ,IT-ITeS,Amreli,Gariyadhar,Bhavnagar,GUJARAT,India,self employed ,gariyadhar 
30,Female,Higher Secondary Pass,Self Employed,4000,Self Employed,Married,No,Self Employed Tailor,Apparel,East Midnapore,JOYNAGAR,East Midnapore,WEST BENGAL,India,Self Employed,Haldia
